TaxonUsageID;TaxonName;NameAuthor;SYNONYM;TaxonConceptID;TaxonConcept;VernacularName;TaxonRank;GRUPPE;IsChildTaxonOfID;IsChildTaxonOf;NACHWEIS;AccordingTo;HYBRID;BEGRUEND;EDITSTATUS;EuroMed
2629;"Gentiana lutea";L.;0;2629;"Gentiana lutea";"Gelber Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";d7138894-97f7-482f-a803-5cb1733bfbc5
2630;"Gentiana lutea subsp. lutea";"";0;2630;"Gentiana lutea subsp. lutea";;SSP;S;2629;"Gentiana lutea";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";5e8bea2f-43e6-454c-b76b-9493c325bdb4
2632;"Gentiana nivalis";L.;0;2632;"Gentiana nivalis";Schnee-Enzian;SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a78c8e2f-fe99-460f-9a84-6c99077f88b3
2633;"Gentiana orbicularis";Schur;0;2633;"Gentiana orbicularis";"Rundblättriger Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";d65606d5-c90c-4ac5-978b-af9a1ecacee0
2634;"Gentiana pannonica";Scop.;0;2634;"Gentiana pannonica";"Ungarischer Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";1e1c20e3-b312-4fe7-8084-60c0cd1c1c03
2635;"Gentiana pneumonanthe";L.;0;2635;"Gentiana pneumonanthe";Lungen-Enzian;SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";bb5bb920-f4ff-4e3c-bc34-5cc71c62d82d
2638;"Gentiana punctata";L.;0;2638;"Gentiana punctata";"Tüpfel-Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";6e7375ac-bf14-4f27-8dd7-a66393f22fbe
2639;"Gentiana purpurea";L.;0;2639;"Gentiana purpurea";Purpur-Enzian;SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";7884d0d0-adb6-485c-8a03-ddf1ee998f03
2645;"Gentiana utriculosa";L.;0;2645;"Gentiana utriculosa";Schlauch-Enzian;SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";22341bdf-236d-4d98-9b41-f350a189da19
2649;"Gentiana verna";L.;0;2649;"Gentiana verna";"Frühlings-Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8a47dd03-8142-4394-8415-4047f6ca93e6
2650;"Gentianella amarella agg.";"";0;2650;"Gentianella amarella agg.";"Artengruppe Bitterer Fransenenzian";AGG;S;60929;Gentianella;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2651;"Gentianella amarella s. str.";"(L.) Börner";0;2651;"Gentianella amarella s. str.";"Bitterer Fransenenzian";SPE;S;2650;"Gentianella amarella agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2652;"Gentianella uliginosa";"(Willd.) Börner";0;2652;"Gentianella uliginosa";Sumpf-Enzian;SPE;S;2650;"Gentianella amarella agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b2310592-6fb2-440f-aea1-29f31c25d18d
